2013 Federal Election House of Representatives Distribution of Preferences By Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"ACT","102","Fraser","0","ABSENT","0","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","46"
"ACT","102","Fraser","0","ABSENT","0","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","3.050"
"ACT","102","Fraser","0","ABSENT","0","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","0","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Count","428"
"ACT","102","Fraser","0","ABSENT","0","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","28.380"
"ACT","102","Fraser","0","ABSENT","0","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","0","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","643"
"ACT","102","Fraser","0","ABSENT","0","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","42.640"
"ACT","102","Fraser","0","ABSENT","0","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","0","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","49"
"ACT","102","Fraser","0","ABSENT","0","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","3.250"
"ACT","102","Fraser","0","ABSENT","0","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","0","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","23"
"ACT","102","Fraser","0","ABSENT","0","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","1.530"
"ACT","102","Fraser","0","ABSENT","0","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","0","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","75"
"ACT","102","Fraser","0","ABSENT","0","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Percent","4.970"
"ACT","102","Fraser","0","ABSENT","0","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","0","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Count","244"
"ACT","102","Fraser","0","ABSENT","0","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Preference Percent","16.180"
"ACT","102","Fraser","0","ABSENT","0","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Count","0"
"ACT","102","Fraser","0","ABSENT","0","7","24890","VERWEY","Adam John","GRN","Australian Greens","N","Transfer Percent","0.000"
"ACT","102","Fraser","0","ABSENT","1","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Count","47"
"ACT","102","Fraser","0","ABSENT","1","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Preference Percent","3.120"
"ACT","102","Fraser","0","ABSENT","1","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Count","1"
"ACT","102","Fraser","0","ABSENT","1","1","24908","CHURCHILL","Darren Mark","DEM","Australian Democrats","N","Transfer Percent","4.350"
"ACT","102","Fraser","0","ABSENT","1","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Count","435"
"ACT","102","Fraser","0","ABSENT","1","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","28.850"
"ACT","102","Fraser","0","ABSENT","1","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","7"
"ACT","102","Fraser","0","ABSENT","1","2","24865","LEE","Elizabeth Seul-Gi","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","30.430"
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","647"
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","42.900"
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","4"
"ACT","102","Fraser","0","ABSENT","1","3","24147","LEIGH","Andrew Keith","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","17.390"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Count","50"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Preference Percent","3.320"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Count","1"
"ACT","102","Fraser","0","ABSENT","1","4","24246","ALCAZAR","Freddy Alejandro","PUP","Palmer United Party","N","Transfer Percent","4.350"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Count","0"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Preference Percent","0.000"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Count","-23"
"ACT","102","Fraser","0","ABSENT","1","5","24251","ROSS","Jill Elizabeth","RUA","Rise Up Australia Party","N","Transfer Percent","-100.000"
"ACT","102","Fraser","0","ABSENT","1","6","24135","HUGGINS","Sam Arthur","BTA","Bullet Train For Australia","N","Preference Count","83"
