2013 Federal Election House of Representatives Distribution of Preferences By Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","117","Eden-Monaro","0","ABSENT","0","1","23189","HENDY","Peter William","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","731"
"NSW","117","Eden-Monaro","0","ABSENT","0","1","23189","HENDY","Peter William","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","40.790"
"NSW","117","Eden-Monaro","0","ABSENT","0","1","23189","HENDY","Peter William","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","1","23189","HENDY","Peter William","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","23171","TYE","Martin Alfred","SPP","Australian Stable Population Party","N","Preference Count","12"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","23171","TYE","Martin Alfred","SPP","Australian Stable Population Party","N","Preference Percent","0.670"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","23171","TYE","Martin Alfred","SPP","Australian Stable Population Party","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","2","23171","TYE","Martin Alfred","SPP","Australian Stable Population Party","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","674"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","37.610"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","3","24547","KELLY","Michael Joseph","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Preference Count","104"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Preference Percent","5.800"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Transfer Count","0"
"NSW","117","Eden-Monaro","0","ABSENT","0","4","24255","LYNCH","Dean Osbourne","PUP","Palmer United Party","N","Transfer Percent","0.000"
