2013 Federal Election House of Representatives Seat Summary [Event:17496 Phase:FinalResults Generated:2013-12-05T15:28:02 Cycle:2f0704b9-b46a-449f-b975-c16f963c49eb Created:2013-12-05T15:24:22 Environment:PROD Site:AEC Server:VTR01 Version:8.5.1.13856]
DivisionID,DivisionNm,StateAb,PartyNmHeld,GhostPartyNmHeld,PartyNmLeading,Votes,Margin,Percentage,Swing,PollingPlacesInPercentage,DateDeclared
160,Fairfax,QLD,Liberal National Party,,Palmer United Party,42330,53,50.03,50.03,100,1/11/2013 12:00:00 AM
226,McEwen,VIC,Australian Labor Party,,Australian Labor Party,50787,313,50.15,-9.04,100,26/09/2013 12:00:00 AM
218,Indi,VIC,Liberal,,Independent,44741,439,50.25,50.25,100,23/09/2013 12:00:00 AM
104,Barton,NSW,Australian Labor Party,,Liberal,40245,489,50.31,7.17,100,27/09/2013 12:00:00 AM
175,Petrie,QLD,Australian Labor Party,,Liberal National Party,41722,871,50.53,3.04,100,27/09/2013 12:00:00 AM
140,Parramatta,NSW,Australian Labor Party,,Australian Labor Party,40765,915,50.57,-3.8,100,30/09/2013 12:00:00 AM
117,Eden-Monaro,NSW,Australian Labor Party,,Liberal,45199,1085,50.61,4.85,100,25/09/2013 12:00:00 AM
115,Dobell,NSW,Australian Labor Party,,Liberal,43653,1166,50.68,5.75,100,27/09/2013 12:00:00 AM
157,Capricornia,QLD,Australian Labor Party,,Liberal National Party,43109,1305,50.77,4.45,100,27/09/2013 12:00:00 AM
144,Reid,NSW,Australian Labor Party,,Liberal,43642,1460,50.85,3.53,100,27/09/2013 12:00:00 AM
306,Lingiari,NT,Australian Labor Party,,Australian Labor Party,23413,807,50.88,-2.82,100,23/09/2013 12:00:00 AM
243,O'Connor,WA,The Nationals,,Liberal,42040,1570,50.95,4.51,100,28/09/2013 12:00:00 AM
196,Lyons,TAS,Australian Labor Party,,Liberal,34228,1631,51.22,13.51,100,24/09/2013 12:00:00 AM
200,Bendigo,VIC,Australian Labor Party,,Australian Labor Party,47426,2333,51.26,-8.16,100,27/09/2013 12:00:00 AM
169,Lilley,QLD,Australian Labor Party,,Australian Labor Party,46237,2373,51.32,-1.86,100,25/09/2013 12:00:00 AM
307,Solomon,NT,Country Liberals (NT),,Country Liberals (NT),27461,1500,51.4,-0.35,100,23/09/2013 12:00:00 AM
173,Moreton,QLD,Australian Labor Party,,Australian Labor Party,42503,2557,51.55,0.42,100,26/09/2013 12:00:00 AM
205,Chisholm,VIC,Australian Labor Party,,Australian Labor Party,44431,2753,51.6,-4.18,100,26/09/2013 12:00:00 AM
201,Bruce,VIC,Australian Labor Party,,Australian Labor Party,42812,2979,51.8,-5.91,100,23/09/2013 12:00:00 AM
103,Banks,NSW,Australian Labor Party,,Liberal,43990,3105,51.83,3.28,100,26/09/2013 12:00:00 AM
185,Hindmarsh,SA,Australian Labor Party,,Liberal,49048,3573,51.89,7.97,100,27/09/2013 12:00:00 AM
167,Kennedy,QLD,Katter's Australian Party,,Katter's Australian Party,43896,3691,52.19,-16.15,100,30/09/2013 12:00:00 AM
153,Werriwa,NSW,Australian Labor Party,,Australian Labor Party,40426,3473,52.24,-4.51,100,26/09/2013 12:00:00 AM
138,Page,NSW,Australian Labor Party,,The Nationals,45134,4333,52.52,6.71,100,25/09/2013 12:00:00 AM
193,Braddon,TAS,Australian Labor Party,,Liberal,34668,3380,52.56,10.04,100,20/09/2013 12:00:00 AM
120,Gilmore,NSW,Liberal,,Liberal,47758,4807,52.65,-2.67,100,27/09/2013 12:00:00 AM
127,Kingsford Smith,NSW,Australian Labor Party,,Australian Labor Party,45411,4719,52.74,-2.42,100,27/09/2013 12:00:00 AM
235,Brand,WA,Australian Labor Party,,Australian Labor Party,45940,5004,52.88,-0.45,100,4/10/2013 12:00:00 AM
122,Greenway,NSW,Australian Labor Party,,Australian Labor Party,45639,5137,52.98,2.1,100,27/09/2013 12:00:00 AM
145,Richmond,NSW,Australian Labor Party,,Australian Labor Party,45179,5080,52.98,-4.01,100,30/09/2013 12:00:00 AM
128,Lindsay,NSW,Australian Labor Party,,Liberal,46446,5234,52.99,4.11,100,26/09/2013 12:00:00 AM
146,Robertson,NSW,Australian Labor Party,,Liberal,47242,5344,53,4,100,26/09/2013 12:00:00 AM
163,Griffith,QLD,Australian Labor Party,,Australian Labor Party,45805,5201,53.01,-5.45,100,27/09/2013 12:00:00 AM
220,Jagajaga,VIC,Australian Labor Party,,Australian Labor Party,48669,5733,53.13,-8.02,100,20/09/2013 12:00:00 AM
209,Deakin,VIC,Australian Labor Party,,Liberal,46926,5612,53.18,3.78,100,24/09/2013 12:00:00 AM
