2013 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","101","Canberra","0","ABSENT","0","","","First Preferences","","0","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","435","41.830"
"ACT","101","Canberra","0","ABSENT","0","","","First Preferences","","0","24122","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","5","605","58.170"
"ACT","101","Canberra","0","ABSENT","24895","GRN","Australian Greens","MELROSE","Julie","2","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","28","9.760"
"ACT","101","Canberra","0","ABSENT","24895","GRN","Australian Greens","MELROSE","Julie","2","24122","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","5","259","90.240"
"ACT","101","Canberra","0","ABSENT","24239","PUP","Palmer United Party","HANLEY","Tony","3","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","30","46.880"
"ACT","101","Canberra","0","ABSENT","24239","PUP","Palmer United Party","HANLEY","Tony","3","24122","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","5","34","53.130"
"ACT","101","Canberra","0","ABSENT","24118","BTA","Bullet Train For Australia","MAHER","Damien","4","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","29","28.160"
"ACT","101","Canberra","0","ABSENT","24118","BTA","Bullet Train For Australia","MAHER","Damien","4","24122","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","5","74","71.840"
"ACT","101","Canberra","0","ABSENT","24238","SPA","Secular Party of Australia","BURT","Nicolle","6","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","6","28.570"
"ACT","101","Canberra","0","ABSENT","24238","SPA","Secular Party of Australia","BURT","Nicolle","6","24122","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","5","15","71.430"
"ACT","101","Canberra","0","POSTAL","0","","","First Preferences","","0","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","2299","54.730"
"ACT","101","Canberra","0","POSTAL","0","","","First Preferences","","0","24122","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","5","1902","45.270"
"ACT","101","Canberra","0","POSTAL","24895","GRN","Australian Greens","MELROSE","Julie","2","24857","LP","Liberal Party of Australia - ACT Division","SEFTON","Tom","1","92","14.490"
