2013 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","117","Eden-Monaro","0","ABSENT","0","","","First Preferences","","0","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","731","52.030"
"NSW","117","Eden-Monaro","0","ABSENT","0","","","First Preferences","","0","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","674","47.970"
"NSW","117","Eden-Monaro","0","ABSENT","23171","SPP","Australian Stable Population Party","TYE","Martin","2","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","8","66.670"
"NSW","117","Eden-Monaro","0","ABSENT","23171","SPP","Australian Stable Population Party","TYE","Martin","2","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","4","33.330"
"NSW","117","Eden-Monaro","0","ABSENT","24255","PUP","Palmer United Party","LYNCH","Dean","4","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","52","50.000"
"NSW","117","Eden-Monaro","0","ABSENT","24255","PUP","Palmer United Party","LYNCH","Dean","4","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","52","50.000"
"NSW","117","Eden-Monaro","0","ABSENT","23239","GRN","Australian Greens","MOORE","Catherine","5","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","25","11.790"
"NSW","117","Eden-Monaro","0","ABSENT","23239","GRN","Australian Greens","MOORE","Catherine","5","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","187","88.210"
"NSW","117","Eden-Monaro","0","ABSENT","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","4","80.000"
"NSW","117","Eden-Monaro","0","ABSENT","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","1","20.000"
"NSW","117","Eden-Monaro","0","ABSENT","24751","IND","Independent","THALER","Andrew","7","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","12","36.360"
"NSW","117","Eden-Monaro","0","ABSENT","24751","IND","Independent","THALER","Andrew","7","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","21","63.640"
